scores,layer,head
0.27987447,17,14
0.27984473,12,2
0.2797569,25,12
0.27942166,6,11
0.27941883,21,22
0.27940658,26,12
0.27927065,12,12
0.27895138,20,24
0.27889016,20,1
0.27887723,5,0
0.27879304,16,18
0.27877405,16,11
0.27859133,14,15
0.27850527,25,15
0.2782331,11,15
0.27813515,22,15
0.27788824,9,17
0.27772906,22,23
0.2775704,27,22
0.2773035,9,0
0.27728775,5,24
0.2771542,15,6
0.27676192,27,1
0.27675977,6,25
0.27664536,26,5
0.27657205,22,9
0.2765562,7,21
0.27652067,22,14
0.27639246,22,12
0.2762239,5,17
0.27620754,27,21
0.27618092,10,7
0.27574462,5,4
0.2756894,1,21
0.27567872,27,0
0.27565742,19,24
0.2756569,21,8
0.2756217,27,24
0.2755061,0,14
0.27539212,23,17
0.2752658,25,8
0.27507645,13,5
0.27493006,22,11
0.27477932,21,2
0.27477103,19,27
0.27474636,23,24
0.2745367,20,18
0.2744031,25,24
0.27435985,17,25
0.27414587,26,2
0.27412212,21,7
0.27394477,26,25
0.2735591,16,6
0.27344576,22,16
0.27333185,7,26
0.27326906,21,3
0.272795,6,5
0.27245265,10,8
0.27243456,27,23
0.27239802,27,4
0.27219334,18,2
0.27216762,26,17
0.2721294,19,8
0.2720038,17,12
0.27190736,13,24
0.27182418,25,7
0.2718224,4,22
0.27179974,13,15
0.27177393,13,27
0.27172536,22,21
0.27164614,25,9
0.27158913,5,16
0.27154535,13,1
0.27145717,24,5
0.27139235,5,12
0.27138028,16,21
0.27137938,4,21
0.2711452,17,10
0.27101895,12,4
0.2709782,23,22
0.27083927,1,20
0.2706693,17,0
0.2705979,13,26
0.27056038,21,9
0.27051252,21,26
0.27044076,8,19
0.27036855,17,6
0.27031457,11,14
0.27030382,17,21
0.27029008,13,4
0.27013564,26,16
0.27010474,13,14
0.27007174,7,1
0.2700611,27,26
0.2700453,2,16
0.26994252,12,10
0.26991907,8,14
0.269775,24,4
0.26977327,26,10
0.26969287,0,12
0.26964477,9,9
0.2694451,15,2
0.26927745,23,14
0.2691907,23,7
0.26915056,0,25
0.26863924,7,8
0.2685121,7,25
0.26844072,9,14
0.26830977,12,8
0.2682962,20,11
0.26827803,8,27
0.26804566,24,1
0.26801834,8,1
0.2678722,11,7
0.26786396,20,10
0.26758516,17,11
0.26757967,13,7
0.267556,26,18
0.2675544,10,9
0.26754498,23,3
0.26700294,21,4
0.2668025,21,18
0.26664793,10,23
0.2666362,27,25
0.26662102,4,16
0.2665357,26,3
0.26651332,10,5
0.26648805,27,3
0.26630953,19,18
0.26624858,10,4
0.26620355,24,13
0.26610148,25,6
0.26601776,10,17
0.26596394,24,24
0.26580042,25,26
0.265669,13,23
0.2655307,6,8
0.26552588,12,25
0.2652878,19,2
0.26528528,7,19
0.26521987,25,11
0.2651873,17,17
0.26518214,27,18
0.26498818,13,3
0.26490557,8,8
0.26448905,11,3
0.26434955,4,11
0.26434535,0,27
0.2642757,20,23
0.264168,20,26
0.2641594,6,12
0.2640982,10,21
0.2640425,13,25
0.26403376,23,4
0.2639739,11,10
0.26374912,8,2
0.26371634,3,16
0.26368862,3,4
0.26356155,26,4
0.26341072,22,13
0.26311943,9,21
0.2629844,4,27
0.2629222,26,19
0.26289377,4,4
0.26288477,10,27
0.26263306,10,19
0.26252833,25,10
0.2625041,6,7
0.2624069,13,22
0.26232094,20,0
0.26196584,25,13
0.2618446,23,9
0.26158774,13,16
0.2615367,18,24
0.26145172,24,11
0.26129135,19,13
0.2612699,4,24
0.26123127,17,18
0.26117408,12,19
0.26101416,7,13
0.26087725,26,1
0.2608744,23,12
0.2606916,26,27
0.2606509,11,26
0.26053613,3,26
0.26039502,24,22
0.25998864,5,3
0.2599111,17,1
0.2597871,4,0
0.25963786,5,13
0.25963464,6,4
0.2594648,26,0
0.25943014,21,13
0.25928107,25,27
0.2592438,24,25
0.2592133,5,23
0.2590489,14,4
0.25898084,6,22
0.25897628,11,25
0.25887966,11,2
0.2588497,24,12
0.25884002,6,20
0.25877732,16,24
0.25876057,24,10
0.2587193,2,11
0.25868195,11,9
0.25849605,18,23
0.2584674,18,22
0.25844112,25,22
0.25839472,3,21
0.258389,9,26
0.25828987,9,2
0.25826815,14,24
0.2581374,15,4
0.2577346,8,10
0.25761488,8,16
0.25747982,24,3
0.25738242,2,7
0.25734276,7,23
0.2573064,25,21
0.25730184,7,17
0.25726607,8,4
0.2572525,10,25
0.25723004,20,12
0.2572033,12,3
0.25710812,13,6
0.25707188,10,12
0.25675783,17,20
0.25673348,17,16
0.25657722,22,17
0.25649348,23,16
0.25646272,14,8
0.25644448,3,7
0.25629222,0,1
0.25628933,26,20
0.25611898,20,25
0.25606304,6,14
0.25601003,18,27
0.25600222,5,27
0.25588447,12,18
0.2558613,2,21
0.2558598,5,26
0.25572458,19,3
0.2557223,9,18
0.25559694,16,10
0.2554669,12,17
0.25541487,10,20
0.255375,24,21
0.25505766,11,0
0.2549876,14,21
0.2548781,24,9
0.25482786,17,19
0.25482655,26,7
0.25445002,15,21
0.25444564,7,22
0.25439864,13,20
0.2543278,5,14
0.25426254,7,2
0.25413373,8,5
0.25403777,22,22
0.2540141,16,15
0.2537832,24,2
0.25347072,24,23
0.25339428,11,23
0.25320083,5,22
0.2530341,5,5
0.2529648,4,2
0.25288507,19,5
0.25284272,18,21
0.25262886,13,12
0.2526194,10,3
0.25261647,15,1
0.2524778,1,24
0.25247413,14,19
0.2522478,17,2
0.2521967,7,15
0.25201273,6,19
0.251825,11,21
0.25179636,5,9
0.25172487,12,1
0.25170588,7,16
