scores,layer,head
0.52644783,32,11
0.5264218,38,12
0.5261682,36,9
0.5256753,35,7
0.5249609,0,10
0.52465516,27,2
0.52460635,33,3
0.5242562,29,9
0.52415496,31,5
0.52409416,37,4
0.5233659,37,6
0.52283436,10,7
0.52214223,29,13
0.5221279,38,3
0.52208275,39,8
0.52207494,33,1
0.5216141,37,12
0.52122146,35,4
0.52115846,15,5
0.5210805,6,1
0.5205459,10,5
0.5205129,35,11
0.51964027,40,14
0.51952744,27,3
0.51948977,12,12
0.5193896,32,2
0.5193698,40,15
0.5190715,31,3
0.518869,26,11
0.5183121,15,3
0.51822525,38,9
0.517828,35,2
0.5168823,0,6
0.5158101,35,9
0.51554644,13,2
0.5153346,33,9
0.51363295,16,14
0.5126018,4,7
0.51209205,12,2
0.51188356,12,6
0.51169944,40,9
0.51137424,20,9
0.5109563,26,7
0.5108909,28,5
0.51058835,17,14
0.5104889,15,2
0.51025355,5,10
0.5099719,32,7
0.50967276,14,4
0.50852233,41,0
0.50849986,10,8
0.5081155,18,5
0.50796676,38,1
0.5078255,40,10
0.5075712,27,7
0.50710195,37,9
0.5067578,36,8
0.50619805,15,4
0.5059741,37,10
0.505957,15,11
0.50578517,12,4
0.50562745,38,11
0.5043938,35,6
0.5041286,21,0
0.50407994,36,2
0.50391465,0,5
0.5037854,40,4
0.5034848,12,3
0.50343525,0,11
0.50311565,28,4
0.5023906,34,5
0.50195664,14,13
0.50006586,31,13
0.49958032,18,12
0.4994436,3,13
0.49913213,31,8
0.4990709,30,15
0.4989812,25,7
0.49893782,17,9
0.49771884,15,0
0.4976025,16,3
0.4974911,25,13
0.49697822,0,12
0.49654174,26,13
0.4962292,24,14
0.49610558,39,5
0.49594775,40,12
0.4958074,0,15
0.49571565,32,0
0.49486426,13,12
0.493632,2,7
0.49298468,40,1
0.49264988,18,11
0.49162102,29,2
0.49160066,34,9
0.49072647,40,5
0.49061117,28,11
0.48987165,16,15
0.48946097,17,0
0.48876485,10,9
0.48858258,31,4
0.48812363,20,15
0.48748836,24,10
0.4873916,41,14
0.48733407,37,3
0.48643252,20,7
0.48631412,18,10
0.4861587,24,8
0.48581332,26,6
0.48491052,9,10
0.4847697,18,9
0.48353198,17,8
0.48348397,39,0
0.48142907,17,15
0.48140782,29,11
0.4812366,20,14
0.4810153,33,4
0.48004678,16,0
0.47911596,33,7
0.47856662,20,8
0.4784939,18,4
0.47781745,29,3
0.47753856,39,2
0.47729346,19,6
0.47717756,30,8
0.47563738,17,6
0.4754882,15,10
0.47534284,16,5
0.4742548,39,13
0.47416413,25,1
0.47401878,7,6
0.4739836,22,10
0.4731472,21,3
0.47290006,33,2
0.4717481,35,5
0.4717278,36,10
0.471677,41,12
0.47157675,21,2
0.47102416,17,2
0.47084334,25,12
0.46952602,29,6
0.46912304,8,13
0.46650097,22,11
0.46615168,23,7
0.46583003,23,4
0.4657496,34,7
0.46523583,9,14
0.46476582,31,10
0.46403018,26,4
0.46393067,18,6
0.46319157,29,7
